Business Name,Owner Name,Phone,Email,Instagram,Live Preview URL,Status
El Pique Taquería,Hernandez Family,3235550187,hola@elpiquetaqueria.com,@elpiquetaqueria,https://pandeyaditya02.github.io/01-el-pique-taqueria/,Not Contacted
Ruben's Auto Repair,Ruben Morales,3235550294,ruben@rubensautorepair.com,@rubensautorepair,https://pandeyaditya02.github.io/02-rubens-auto-repair/,Not Contacted
Golden Shears Barbershop,Carlos 'Charlie' Vega,+12135550341,info@goldenshears.com,@goldenshearsla,https://pandeyaditya02.github.io/03-golden-shears-barbershop/,Not Contacted
Sunny's Coin Laundry,Kim Family,+12135550478,hello@sunnyscoinlaundry.com,@sunnyscoinlaundry,https://pandeyaditya02.github.io/04-sunnys-coin-laundry/,Not Contacted
Rosa's Flower Garden,Rosa Delgado,+13235550562,hello@rosasflowergarden.com,@rosasflowergarden,https://pandeyaditya02.github.io/05-rosas-flower-garden/,Not Contacted
Lucky Nails & Spa,Linh & Mai Nguyen,+13235550619,hello@luckynailsspa.com,@luckynailsla,https://pandeyaditya02.github.io/06-lucky-nails-spa/,Not Contacted
Mike's Plumbing Solutions,Mike Thompson,8185550735,info@mikesplumbingsolutions.com,@mikesplumbingla,https://pandeyaditya02.github.io/07-mikes-plumbing/,Not Contacted
El Gallo Bakery,Espinoza Family,3232635528,info@elgallobakery.com,@elgallobakery,https://pandeyaditya02.github.io/08-la-abuela-bakery/,Not Contacted
Zen Garden Massage,Elena Sato,3235550953,hello@zengardenmassage.com,@zengardenla,https://pandeyaditya02.github.io/09-zen-garden-massage/,Not Contacted
Paws & Claws Pet Grooming,Amanda Chen,3105551047,woof@pawsandclawsgrooming.com,@pawsclawsgrooming,https://pandeyaditya02.github.io/10-paws-claws-grooming/,Not Contacted
